datetime,2017 Flow,2017 Level
2021-03-01 0:00,3295,22.89
2021-03-01 1:00,3279,22.9
2021-03-01 2:00,3287,22.9
2021-03-01 3:00,3287,22.9
2021-03-01 4:00,3294,22.9
2021-03-01 5:00,3276,22.9
2021-03-01 6:00,3281,22.91
2021-03-01 7:00,3288,22.91
2021-03-01 8:00,3292,22.91
2021-03-01 9:00,3288,22.91
2021-03-01 10:00,3294,22.91
2021-03-01 11:00,3291,22.91
2021-03-01 12:00,3308,22.92
2021-03-01 13:00,3310,22.92
2021-03-01 14:00,3417,22.94
2021-03-01 15:00,3425,22.94
2021-03-01 16:00,3496,22.96
2021-03-01 17:00,3494,22.97
2021-03-01 18:00,3495,22.97
2021-03-01 19:00,3593,22.99
2021-03-01 20:00,3634,23
2021-03-01 21:00,3647,23.01
2021-03-01 22:00,3638,23.01
2021-03-01 23:00,3632,23.02
2021-03-02 0:00,3638,23.03
2021-03-02 1:00,3646,23.03
2021-03-02 2:00,3684,23.04
2021-03-02 3:00,3983,23.11
2021-03-02 4:00,3979,23.1
2021-03-02 5:00,3933,23.1
2021-03-02 6:00,3811,23.1
2021-03-02 7:00,3981,23.13
2021-03-02 8:00,3985,23.15
2021-03-02 9:00,4049,23.16
2021-03-02 10:00,4038,23.17
2021-03-02 11:00,4035,23.17
2021-03-02 12:00,4005,23.17
2021-03-02 13:00,3951,23.17
2021-03-02 14:00,3939,23.18
2021-03-02 15:00,3946,23.18
2021-03-02 16:00,3970,23.18
2021-03-02 17:00,4042,23.21
2021-03-02 18:00,4048,23.21
2021-03-02 19:00,4047,23.21
2021-03-02 20:00,4035,23.22
2021-03-02 21:00,4036,23.22
2021-03-02 22:00,4044,23.22
2021-03-02 23:00,4042,23.22
2021-03-03 0:00,4037,23.23
2021-03-03 1:00,4050,23.23
2021-03-03 2:00,4052,23.23
2021-03-03 3:00,4042,23.23
2021-03-03 4:00,4048,23.24
2021-03-03 5:00,4052,23.24
2021-03-03 6:00,4032,23.24
2021-03-03 7:00,4034,23.25
2021-03-03 8:00,4037,23.25
2021-03-03 9:00,4046,23.25
2021-03-03 10:00,3946,23.23
2021-03-03 11:00,3950,23.23
2021-03-03 12:00,4055,23.24
2021-03-03 13:00,4041,23.24
2021-03-03 14:00,3988,23.24
